"","DMA","Far.Cry.5","Monster.Hunter.World","Call.of.Duty.WW2","Dragon.Ball.Fighterz","God.of.War","Trump.2016.Vote."
"175","StLouisMO",47,56,36,10,65,50.62
"176","ChicagoIL",39,52,41,13,71,31.09
"177","WausauRhinelanderWI",54,63,34,4,60,55.86
"178","WilmingtonNC",43,65,30,10,67,55.91
"179","MeridianMS",45,63,41,NA,67,58.93
"180","NewYorkNY",32,52,34,19,78,35.24
"181","GreenwoodGreenvilleMS",41,47,45,NA,82,38.45
"182","RochesterMNMasonCityIAAustinMN",54,63,32,6,60,50.78
"183","DetroitMI",41,56,41,15,63,41.93
"184","HoustonTX",36,56,36,15,71,49.76
"185","SiouxCityIA",50,58,41,8,58,68.06
"186","CharlestonSC",41,58,39,10,67,48.74
"187","MilwaukeeWI",47,58,39,10,60,46.14
"188","SantaBarbaraSantaMariaSanLuisObispoCA",41,65,28,13,69,36.03
"189","JacksonTN",41,56,36,13,69,68
"190","DallasFtWorthTX",41,56,36,13,69,53.5
"191","MiamiFtLauderdaleFL",28,58,30,21,78,33.03
"192","JacksonMS",41,50,39,13,73,49.42
"193","AtlantaGA",39,54,36,15,71,47.58
"194","PanamaCityFL",54,58,30,8,65,72.62
"195","AlbanyGA",47,52,34,13,69,59.12
"196","BurlingtonVTPlattsburghNY",56,58,34,4,63,34.79
"197","HattiesburgLaurelMS",39,63,39,13,63,65.41
"198","WestPalmBeachFtPierceFL",39,58,32,13,73,45.87
"199","FtMyersNaplesFL",43,60,30,10,71,59.62
"200","WashingtonDCHagerstownMD",41,56,34,13,71,29.9
"201","CharlotteNC",43,54,39,13,67,53.45
"202","BostonMAManchesterNH",47,56,34,10,67,35.4
"203","FlorenceMyrtleBeachSC",43,54,39,13,67,56.54
"204","BirminghamAL",47,54,39,15,60,62.35
"205","PalmSpringsCA",28,58,34,17,78,44.73
"206","SalisburyMD",50,54,36,10,65,57.38
"207","CharlottesvilleVA",50,54,32,13,67,39.58
"208","GlendiveMT",NA,NA,NA,NA,NA,77.21
"209","NorthPlatteNE",NA,NA,NA,NA,NA,77.35
"210","AlpenaMI",NA,NA,NA,NA,NA,63.61
